Address,Price,Link
"2225 South Beverly Glen Boulevard, 2225 S Beverly Glen Blvd APT 209, Los Angeles, CA 90064","$2,998/mo",https://www.zillow.com/b/2225-south-beverly-glen-boulevard-los-angeles-ca-5XxhrG/
"Allure at Camarillo | 390 Paseo Camarillo, Camarillo, CA","$2,603",https://www.zillow.com/b/allure-at-camarillo-camarillo-ca-5XkJ5b/
"Santa Fe Village | 3700 S Santa Fe Village Dr, Santa Ana, CA","$2,395",https://www.zillow.com/b/santa-fe-village-santa-ana-ca-5XkJZL/
"The Aspens South Coast | 1601 W Macarthur Blvd, Santa Ana, CA","$2,095",https://www.zillow.com/b/the-aspens-south-coast-santa-ana-ca-5Xk5ST/
"The Social, 1445 W 3rd St, Chico, CA 95928","$1,350",https://www.zillow.com/b/the-social-chico-ca-5Z3h8y/
"Parador Town Homes | 310 N Amedeo Ln, Clovis, CA","$2,336",https://www.zillow.com/b/parador-town-homes-clovis-ca-9VD7bv/
"Oak View Apartments | 4700 W Caldwell Ave, Visalia, CA","$1,405",https://www.zillow.com/b/oak-view-apartments-visalia-ca-5XjWBS/
"4200 Harbor Blvd | 4200 S Harbor Blvd, Oxnard, CA","$2,498",https://www.zillow.com/b/4200-harbor-blvd-oxnard-ca-95xJjJ/
"The Aspens Fairhaven | 1201 Fairhaven Ave, Santa Ana, CA","$2,095",https://www.zillow.com/b/the-aspens-fairhaven-santa-ana-ca-5XjLWc/
"Walnut Ridge Management | 3610 S Nogales St, West Covina, CA","$2,652",https://www.zillow.com/b/walnut-ridge-management-west-covina-ca-5XjTCB/
"960 N. Alfred - fully renovated unit in Los Angeles | 960 N Alfred St, West Hollywood, CA","$2,698",https://www.zillow.com/b/960-alfred-st.-los-angeles-ca-5gjh2d/
"San Regis Apartments | 15454 Sherman Way, Van Nuys, CA","$1,951",https://www.zillow.com/b/san-regis-apartments-van-nuys-ca-5XjNYC/
"951 S. Oxford Ave. | 951 S Oxford Ave, Los Angeles, CA","$1,898",https://www.zillow.com/b/951-s.-oxford-ave.-los-angeles-ca-5XjS37/
"Cyrene at Meadowlands - Single Family Homes for Rent | 1120 C St, Lincoln, CA","$2,825",https://www.zillow.com/b/cyrene-at-meadowlands-single-family-homes-for-rent-lincoln-ca-CJWFk7/
"Metro East | 2222 E 1st St, Santa Ana, CA","$1,479",https://www.zillow.com/b/metro-east-santa-ana-ca-9V8gfX/
"South Shore Apartments, 934 Shorepoint Ct #B224, Alameda, CA 94501","$2,718/mo",https://www.zillow.com/b/south-shore-apartments-alameda-ca-BPBNXy/
"Millworks, 900 Reichert Ave UNIT 508, Novato, CA 94945","$2,850/mo",https://www.zillow.com/b/millworks-novato-ca-5XjKMC/
"LeSarra | 2230 Valley View Pkwy, El Dorado Hills, CA","$2,350",https://www.zillow.com/b/lesarra-el-dorado-hills-ca-5XrLK9/
"Santa Rosa Oaks, 1521 Range Ave, Santa Rosa, CA 95401","$2,500",https://www.zillow.com/homedetails/1521-Range-Ave-541090B7A-Santa-Rosa-CA-95401/2060227301_zpid/
"Cornerstone Apartments, 11 Atlantic Cir #71206, Pittsburg, CA 94565","$1,928/mo",https://www.zillow.com/b/cornerstone-apartments-pittsburg-ca-5hFZNf/
"Hanover Walnut Creek, 3050 Del Hombre Lane Tarn #267, Walnut Creek, CA 94597","$2,765/mo",https://www.zillow.com/b/hanover-walnut-creek-walnut-creek-ca-9NTFxk/
"Hanover Walnut Creek, 3050 Del Hombre Lane Tarn #224, Walnut Creek, CA 94597","$2,778/mo",https://www.zillow.com/b/hanover-walnut-creek-walnut-creek-ca-9NTFxk/
"Hanover Walnut Creek, 3050 Del Hombre Lane Tarn #210, Walnut Creek, CA 94597","$2,778/mo",https://www.zillow.com/b/hanover-walnut-creek-walnut-creek-ca-9NTFxk/
"Heritage Landing Apartments | 4200 Nord Hwy, Chico, CA","$1,525",https://www.zillow.com/b/heritage-landing-apartments-chico-ca-BqpGZj/
"Olive Encino | 5501 Newcastle Ave, Encino, CA","$2,395",https://www.zillow.com/b/olive-encino-encino-ca-5XjR3w/
"The Pines at Ponderosa | 1667 Picetti Way, Fernley, NV","$2,299",https://www.zillow.com/b/the-pines-at-ponderosa-fernley-nv-9MHqJw/
"Vespr | 312 24th St, Oakland, CA","$2,281",https://www.zillow.com/b/vespr-oakland-ca-C4MNc7/
"The Element Apartments | 825 Delucchi Ln, Reno, NV","$1,334",https://www.zillow.com/b/the-element-apartments-reno-nv-5Xk3PT/
"Grandview Apartments, 750 Warfield Ave, Oakland, CA 94610","$2,095",https://www.zillow.com/b/grandview-apartments-oakland-ca-5j3qXL/
"The Verge | 8000 Offenhauser Dr, Reno, NV","$1,482",https://www.zillow.com/b/the-verge-reno-nv-5Xt4yn/
"Lakeridge | 6155 Plumas St, Reno, NV","$1,557",https://www.zillow.com/b/lakeridge-reno-nv-5XjRp3/
"Torrey Pines Apartment Homes, 851 S Sunset Ave APT 92, West Covina, CA 91790","$2,805/mo",https://www.zillow.com/b/torrey-pines-apartment-homes-west-covina-ca-5XkKLH/
"Apex at Sky Valley | 1555 Sky Valley Dr, Reno, NV","$1,409",https://www.zillow.com/b/apex-at-sky-valley-reno-nv-5XjSLc/
"3rd Street Flats, 303 3rd St #702, Reno, NV 89501","$1,650/mo",https://www.zillow.com/b/3rd-street-flats-reno-nv-BJfyZq/
"Hanover Walnut Creek | 3050 Del Hombre Lane Tarn, Walnut Creek, CA","$2,765",https://www.zillow.com/b/hanover-walnut-creek-walnut-creek-ca-9NTFxk/
"The Venue at Orange | 1600 Orange Ave, Redlands, CA","$2,300",https://www.zillow.com/b/the-venue-at-orange-redlands-ca-9MvFVm/
"The Lodge at McCarran Ranch Apartment Homes | 800 Redfield Pkwy, Reno, NV","$1,459",https://www.zillow.com/b/the-lodge-at-mccarran-ranch-apartment-homes-reno-nv-5XkHJf/
"Alivia Apartments, 11201 Carmenita Rd #5-208, Whittier, CA 90605","$2,870/mo",https://www.zillow.com/b/alivia-apartments-whittier-ca-BwXXhk/
"Woodchase Apartment Homes | 2795 San Leandro Blvd, San Leandro, CA","$2,265",https://www.zillow.com/b/woodchase-apartment-homes-san-leandro-ca-5XjNkR/
"Villas at North Village | 300 Crescent Dr, Vacaville, CA","$2,140",https://www.zillow.com/b/villas-at-north-village-vacaville-ca-9nMBTF/
"The Reed | 1679 Reed St, Denver, CO","$1,550",https://www.zillow.com/b/the-reed-lakewood-co-9LdrS8/
"Millworks, 900 Reichert Ave UNIT 508, Novato, CA 94945","$2,850/mo",https://www.zillow.com/b/millworks-novato-ca-5XjKMC/
"Two Mile - Liberty Military Housing, 5901 Desert Knoll Ave, Twentynine Palms, CA 92277","$1,974",https://www.zillow.com/b/two-mile-liberty-military-housing-twentynine-palms-ca-CH7Frv/
"LeSarra | 2230 Valley View Pkwy, El Dorado Hills, CA","$2,350",https://www.zillow.com/b/lesarra-el-dorado-hills-ca-5XrLK9/
"The Springs at Coyote Ridge | 212-1720 57ce2c35a, Heber City, UT","$2,809","https://www.zillow.com/b/The-Springs-at-Coyote-Ridge-Heber-City-UT/40.50704,-111.413185_ll/"
"Santa Rosa Oaks, 1521 Range Ave, Santa Rosa, CA 95401","$2,500",https://www.zillow.com/homedetails/1521-Range-Ave-541090B7A-Santa-Rosa-CA-95401/2060227301_zpid/
"ICO Monteval | 355 W 920 N, Orem, UT","$1,309",https://www.zillow.com/b/ico-monteval-orem-ut-5ZbPV3/
"Altair at Riverwalk, 1575 Riverwalk Dr #F-F301, Ogden, UT 84401","$1,887/mo",https://www.zillow.com/b/altair-at-riverwalk-ogden-ut-BymJkz/
"Altair at Riverwalk | 1575 Riverwalk Dr, Ogden, UT","$1,540",https://www.zillow.com/b/altair-at-riverwalk-ogden-ut-BymJkz/
"Adobe Flats V - Liberty Military Housing | 8303D Maumee Rd, Twentynine Palms, CA","$1,974",https://www.zillow.com/b/adobe-flats-v-liberty-military-housing-twentynine-palms-ca-CFfnFf/
"Cornerstone Apartments, 11 Atlantic Cir #71206, Pittsburg, CA 94565","$1,928/mo",https://www.zillow.com/b/cornerstone-apartments-pittsburg-ca-5hFZNf/
"Cove at Pleasant View Town Homes, 255 W 2700 N, Ogden, UT 84414","$2,009",https://www.zillow.com/b/cove-at-pleasant-view-town-homes-pleasant-view-ut-5jDMfR/
"Hanover Walnut Creek, 3050 Del Hombre Lane Tarn #267, Walnut Creek, CA 94597","$2,765/mo",https://www.zillow.com/b/hanover-walnut-creek-walnut-creek-ca-9NTFxk/
"Hanover Walnut Creek, 3050 Del Hombre Lane Tarn #224, Walnut Creek, CA 94597","$2,778/mo",https://www.zillow.com/b/hanover-walnut-creek-walnut-creek-ca-9NTFxk/
"Hanover Walnut Creek, 3050 Del Hombre Lane Tarn #210, Walnut Creek, CA 94597","$2,778/mo",https://www.zillow.com/b/hanover-walnut-creek-walnut-creek-ca-9NTFxk/
"Heritage Landing Apartments | 4200 Nord Hwy, Chico, CA","$1,525",https://www.zillow.com/b/heritage-landing-apartments-chico-ca-BqpGZj/
"Olive Encino | 5501 Newcastle Ave, Encino, CA","$2,395",https://www.zillow.com/b/olive-encino-encino-ca-5XjR3w/
"The Pines at Ponderosa | 1667 Picetti Way, Fernley, NV","$2,299",https://www.zillow.com/b/the-pines-at-ponderosa-fernley-nv-9MHqJw/
"Vespr | 312 24th St, Oakland, CA","$2,281",https://www.zillow.com/b/vespr-oakland-ca-C4MNc7/
"Rockwell Ranch Townhome Community, 1058 W 360 S, American Fork, UT 84003","$1,995",https://www.zillow.com/b/rockwell-ranch-townhome-community-american-fork-ut-BvHtDY/
"ICO Mayfield | 2275 W 250 S, Pleasant Grove, UT","$1,379",https://www.zillow.com/b/ico-mayfield-pleasant-grove-ut-65ZxVS/
"ICO Mayfield, 2275 W 250 S #B224, Pleasant Grove, UT 84062","$1,639/mo",https://www.zillow.com/b/ico-mayfield-pleasant-grove-ut-65ZxVS/
"The Element Apartments | 825 Delucchi Ln, Reno, NV","$1,334",https://www.zillow.com/b/the-element-apartments-reno-nv-5Xk3PT/
"Grandview Apartments, 750 Warfield Ave, Oakland, CA 94610","$2,095",https://www.zillow.com/b/grandview-apartments-oakland-ca-5j3qXL/
"The Verge | 8000 Offenhauser Dr, Reno, NV","$1,482",https://www.zillow.com/b/the-verge-reno-nv-5Xt4yn/
"Haven Cove Townhomes | 1630 W 2000 S, Ogden, UT","$1,740",https://www.zillow.com/b/haven-cove-townhomes-west-haven-ut-BsVGNH/
"Aura Colliers Hill | 1300 Colliers Pkwy, Erie, CO","$1,830",https://www.zillow.com/b/aura-colliers-hill-erie-co-C66xwt/
"Lakeridge | 6155 Plumas St, Reno, NV","$1,557",https://www.zillow.com/b/lakeridge-reno-nv-5XjRp3/
"Jordan View Towns, 1532 N Rosa Ln #B84A45081, Saratoga Springs, UT 84045","$1,820/mo",https://www.zillow.com/b/jordan-view-towns-saratoga-springs-ut-BMd4xx/
"Jordan View Towns, 1532 N Rosa Ln #Q4MCJ40SP, Saratoga Springs, UT 84045","$2,199/mo",https://www.zillow.com/b/jordan-view-towns-saratoga-springs-ut-BMd4xx/
"Torrey Pines Apartment Homes, 851 S Sunset Ave APT 92, West Covina, CA 91790","$2,805/mo",https://www.zillow.com/b/torrey-pines-apartment-homes-west-covina-ca-5XkKLH/
"Apex at Sky Valley | 1555 Sky Valley Dr, Reno, NV","$1,409",https://www.zillow.com/b/apex-at-sky-valley-reno-nv-5XjSLc/
"Greyhawk Townhomes | 3310 N 1750 E, Layton, UT","$2,120",https://www.zillow.com/b/greyhawk-townhomes-layton-ut-B64rtH/
"3rd Street Flats, 303 3rd St #702, Reno, NV 89501","$1,650/mo",https://www.zillow.com/b/3rd-street-flats-reno-nv-BJfyZq/
"Logan Park, 966 S Logan St #205, Denver, CO 80209","$1,475/mo",https://www.zillow.com/b/logan-park-denver-co-5ZjKrJ/
"Hanover Walnut Creek | 3050 Del Hombre Lane Tarn, Walnut Creek, CA","$2,765",https://www.zillow.com/b/hanover-walnut-creek-walnut-creek-ca-9NTFxk/
"Meadows at American Fork | 751 W 200th St S, American Fork, UT","$1,579",https://www.zillow.com/b/meadows-at-american-fork-american-fork-ut-BqqYLQ/
"Compass Meridian | 9035 Storm Peak, Englewood, CO","$1,765",https://www.zillow.com/b/compass-meridian-englewood-co-CHwk74/
"AMLI Dry Creek | 7471 S Clinton St, Englewood, CO","$1,926",https://www.zillow.com/b/amli-dry-creek-englewood-co-9T9rk4/
"NOVEL White Fence Farm by Crescent Communities, 6273 W Jewell Ave #231, Denver, CO 80232","$2,057/mo",https://www.zillow.com/b/novel-white-fence-farm-by-crescent-communities-lakewood-co-CHHsWN/
